"REID","Record Type Desc","Parcel Status Desc","Property Class Desc","Sale Date","Sale Price","Sale Type Desc","Sale Status Desc","Sale Disqualification Reason Desc","Ownership Document Number"
1713,Sale,ACTIVE,RESIDENTIAL,"6/20/2022 12:00:01 AM",395000.00,PACKAGE,QUALIFIED,,2333500
1759,Sale,ACTIVE,RESIDENTIAL,"7/22/2022 12:00:01 AM",362500.00,PACKAGE,QUALIFIED,,2338111
1885,Sale,ACTIVE,RESIDENTIAL,"4/12/2022 12:00:01 AM",650000.00,PACKAGE,QUALIFIED,,2323416
1928,Sale,ACTIVE,RESIDENTIAL,"7/8/2022 12:00:01 AM",25000.00,LAND,QUALIFIED,,2336371
1981,Sale,ACTIVE,RESIDENTIAL,"7/27/2022 12:00:01 AM",350000.00,PACKAGE,QUALIFIED,,2338699
2029,Sale,ACTIVE,RESIDENTIAL,"12/28/2022 12:00:01 AM",50000.00,LAND,QUALIFIED,,2357592
2054,Sale,ACTIVE,RESIDENTIAL,"4/1/2022 12:00:01 AM",572000.00,PACKAGE,QUALIFIED,,2321890
2075,Sale,ACTIVE,RESIDENTIAL,"10/12/2022 12:00:01 AM",215000.00,PACKAGE,QUALIFIED,,2349508
2160,Sale,ACTIVE,RESIDENTIAL,"3/2/2022 12:00:01 AM",245000.00,PACKAGE,QUALIFIED,,2317183
2166,Sale,ACTIVE,RESIDENTIAL,"6/8/2022 12:00:01 AM",265000.00,PACKAGE,QUALIFIED,,2331997
2170,Sale,ACTIVE,RESIDENTIAL,"1/19/2022 12:00:01 AM",265000.00,PACKAGE,QUALIFIED,,2310672
2185,Sale,ACTIVE,RESIDENTIAL,"4/29/2022 12:00:01 AM",280000.00,PACKAGE,QUALIFIED,,2326230
2213,Sale,ACTIVE,RESIDENTIAL,"4/14/2022 12:00:01 AM",210000.00,PACKAGE,QUALIFIED,,2323791
2263,Sale,ACTIVE,RESIDENTIAL,"1/26/2022 12:00:01 AM",335000.00,PACKAGE,QUALIFIED,,2311888
