Work Type,Year For,Days in Queue,Queue Status,Reviewer,REID,Parcel Status,PIN,Market Area,Market Area Description,Street Number,Street Name,City/Zip,Valuation Approach,TxnCrDate
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),129383,Active,1380-80-7796,CHA03,CHANDLER SUB,20110,CHANDLER DR,"COVINGTON, 70435",Cost,7/18/2022 9:38:48 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),114064,Active,1310-71-5387,QRI08,QUAIL RIDGE SUB,615,EAGLE DR,"SLIDELL, 70461",Cost,7/18/2022 9:40:43 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),40267,Active,1120-20-0301,HY190,HWY 190 EAST,24529,HWY 190 E HWY,"LACOMBE, 70445",Cost,7/18/2022 9:42:03 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),126351,Active,1378-05-3370,LES09,LAKESHORE ESTATES,0,NO ADDRESS ,"SLIDELL, 70461",Cost,7/18/2022 9:43:38 AM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),26113,Active,1070-13-2179,RAM03,RAMSEY ESTATES,75112,CAROL LN,"COVINGTON, 70435",Cost,7/18/2022 9:59:12 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),92370,Active,1241-36-6882,SAA09,SALMEN ADDITION 1 2 3,3131,WILLIAM TELL ST,"SLIDELL, 70458",Cost,7/18/2022 10:04:09 AM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),110458,Active,1281-05-8177,LPI09,LIBERTY PINES,104,CEDAR LN,"SLIDELL, 70460",Cost,7/18/2022 10:07:50 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),25003,Active,1070-11-7420,LRA03,LAKE RAMSEY,14070,S LAKESHORE DR,"COVINGTON, 70435",Cost,7/18/2022 10:13:47 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),25887,Active,1070-12-9283,KFO03,KINGS FOREST,101,ROBIN HOOD DR,"COVINGTON, 70433",Cost,7/18/2022 10:17:15 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),51038,Active,1121-30-1624,LNE12,LANE ST,569,LANE ST,"MANDEVILLE, 70448",Cost,7/18/2022 10:18:15 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134969,Active,7673-90-1863,LVI09,LAKESHORE VILLAGES,7584,1ST LAKE DR,"SLIDELL, 70461",Cost,7/18/2022 10:20:39 AM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),65798,Active,1168-19-2066,ALA10,ABITA LAKES,0,CAMDEN PARK DR,"ABITA SPRINGS, 70420",Cost,7/18/2022 10:21:45 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),125808,Active,1371-38-6247,MPO09,MASTERS POINT,230,E AUGUSTA LN,"SLIDELL, 70458",Cost,7/18/2022 10:22:31 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134918,Active,7683-01-1759,LVI09,LAKESHORE VILLAGES,7444,1ST LAKE DR,"SLIDELL, 70461",Cost,7/18/2022 10:23:00 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),134595,Active,6689-57-2904,DPE04,,21412,SKYLER DOVE DR,"COVINGTON, 70433",Cost,7/18/2022 10:23:44 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134910,Active,7673-91-3014,LVI09,LAKESHORE VILLAGES,5307,CYPRESS BRANCH DR,"SLIDELL, 70461",Cost,7/18/2022 10:23:54 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),133246,Active,6688-97-6507,MNA04,MANDEVILLE ANNEX,1505,PENROSE ST,"MANDEVILLE, 70448",Cost,7/18/2022 10:30:13 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),49701,Active,1121-18-6558,ROE04,RIVER OAKS ESTATES,804,TRADITION DR,"COVINGTON, 70433",Cost,7/18/2022 10:30:25 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),5018,Active,1038-21-0182,SLA01,SPRING LAKES,433,SAW GRASS LOOP,"COVINGTON, 70435",Cost,7/18/2022 10:37:18 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),18967,Active,1060-07-6465,RFO03,RIVER FOREST SUB (COVINGTON),25,KATHLEEN DR,"COVINGTON, 70433",Cost,7/18/2022 10:40:09 AM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),18209,Active,1060-06-7202,NC1000,NEW COVINGTON SQS 1000-1020,0,NO ADDRESS ,"COVINGTON, 70433",Cost,7/18/2022 10:48:19 AM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),55895,Active,1128-20-1677,BWE04,BRENTWOOD ESTATES (TD 12),67594,ANTIOCH DR,"MANDEVILLE, 70471",Cost,7/18/2022 10:52:05 AM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),63801,Active,1160-31-6660,LIS16,LOWE DAVIS RD (TD 16),22122,LOWE DAVIS RD,"COVINGTON, 70435",Cost,7/18/2022 10:59:14 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),9530,Active,1041-40-6945,WIN01,WINDERMERE,431,WINDERMERE OAKS  W,"MADISONVILLE, 70447",Cost,7/18/2022 11:01:40 AM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),73677,Active,1208-07-2751,RAD20,RAILROAD AVE T.D. 20,80164,RAILROAD AV,"BUSH, 70431",Cost,7/18/2022 11:03:44 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),29408,Active,1071-27-1504,THI03,TAMMANY HILLS / SOUTH ABITA,70361,7TH ST,"COVINGTON, 70433",Cost,7/18/2022 11:11:13 AM
Sales Queue,2022,309,PROCESSED,JOANNE PULITZER (JPULITZER),30691,Active,1071-34-3173,CORCH07,COMMERCIAL ORCHARD DRIVES,56,LOUIS PRIMA DR,"COVINGTON, 70433",Cost,7/18/2022 11:15:34 AM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),34816,Active,1078-19-1500,ABI03,ABITA RIDGE,2020,BEGUE LN,"COVINGTON, 70433",Cost,7/18/2022 11:17:00 AM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),30218,Active,1071-31-0119,MAR03,MAPLE RIDGE,516,TWIN RIVER DR,"COVINGTON, 70433",Cost,7/18/2022 11:18:50 AM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),101049,Active,1268-20-2110,VAC26,VACANT LAND TAX DISTRICT 26,0,NO ADDRESS ,"SLIDELL, 70458",Cost,7/18/2022 11:26:54 AM
Sales Queue,2022,309,PROCESSED,JEANINE ZENON (JZENON),134992,Active,7673-71-3342,LVI09,LAKESHORE VILLAGES,3689,BRAVILLA WAY,"SLIDELL, 70461",Cost,7/18/2022 11:28:57 AM
Sales Queue,2022,309,PROCESSED,JOANNE PULITZER (JPULITZER),30815,Active,1071-40-0020,CALEX07,COMMERCIAL ALEXIUSVILLE,0,(UNCONSTRUCTED RD,"COVINGTON, 70433",Cost,7/18/2022 12:13:35 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),128671,Active,1378-21-1907,LVI09,LAKESHORE VILLAGES,4344,MARAIS RIVER DR,"SLIDELL, 70461",Cost,7/18/2022 12:15:58 PM
Sales Queue,2022,309,PROCESSED,JEANINE ZENON (JZENON),10323,Active,1048-06-4467,DOM01,DOMINION,400,RED PLUM PL,"MADISONVILLE, 70447",Cost,7/18/2022 12:17:26 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),128589,Active,1378-21-1114,LVI09,LAKESHORE VILLAGES,0,NO ADDRESS ,"SLIDELL, 70461",Cost,7/18/2022 12:18:38 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),128589,Active,1378-21-1114,LVI09,LAKESHORE VILLAGES,0,NO ADDRESS ,"SLIDELL, 70461",Cost,7/18/2022 12:19:44 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134930,Active,7672-88-3714,LVI09,LAKESHORE VILLAGES,5525,WAKE RESERVE RD,"SLIDELL, 70461",Cost,7/18/2022 12:21:09 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),3156,Active,1038-08-3509,TAC01,TALLOW CREEK,690,AMY CTR,"COVINGTON, 70433",Cost,7/18/2022 12:23:37 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),36010,Active,1080-15-7686,RIE04,RIVERWOOD EAST,27,SYDNEY CTR,"COVINGTON, 70433",Cost,7/18/2022 12:25:12 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134955,Active,7673-90-8818,LVI09,LAKESHORE VILLAGES,1844,E LAKESHORE LANDING DR,"SLIDELL, 70461",Cost,7/18/2022 12:25:51 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),51360,Active,1121-31-4955,LAC04,LAZY CREEK,261,HEATHER DR,"MANDEVILLE, 70471",Cost,7/18/2022 12:31:20 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),34344,Active,1078-16-3980,ATR03,AUDUBON TRAIL,513,EAGLE LOOP,"COVINGTON, 70433",Cost,7/18/2022 12:32:06 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134908,Active,7673-91-2272,LVI09,LAKESHORE VILLAGES,5302,CYPRESS BRANCH DR,"SLIDELL, 70461",Cost,7/18/2022 12:32:47 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),134430,Active,6781-04-4122,THI03,TAMMANY HILLS / SOUTH ABITA,70444,2ND ST,"COVINGTON, 70433",Cost,7/18/2022 12:33:54 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),34991,Active,1078-20-1067,RPC03,RIVER PARK CROSSING,75040,CRESTVIEW HILLS LOOP,"COVINGTON, 70435",Cost,7/18/2022 12:34:26 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134973,Active,7673-91-0106,LVI09,LAKESHORE VILLAGES,7556,1ST LAKE DR,"SLIDELL, 70461",Cost,7/18/2022 12:36:32 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),12072,Active,1048-14-4277,ROA01,RAIFORD OAKS,206,RAIFORD OAKS BLVD,"MADISONVILLE, 70447",Cost,7/18/2022 12:55:25 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),2766,Active,1038-06-5274,TCH03,TANTELA RANCH RD,0,NO ADDRESS ,"COVINGTON, 70435",Cost,7/18/2022 12:58:00 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),37104,Active,1100-17-0623,PAC08,PEARL ACRES,40115,ONYX AV,"SLIDELL, 70461",Cost,7/18/2022 12:59:31 PM
Sales Queue,2022,309,PROCESSED,GARY SCHOEN (GSCHOEN),21633,Active,1061-20-6206,OLA03,OLD LANDING,32,RIVERBEND DR,"COVINGTON, 70433",Cost,7/18/2022 1:00:01 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),97842,Active,1260-61-1166,KIN08,KINGSPOINT,2009,WELLINGTON LN,"SLIDELL, 70461",Cost,7/18/2022 1:01:02 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),86069,Active,1238-08-2497,CST08,CORNERSTONE CONDO,132,CORNERSTONE DR,"SLIDELL, 70461",Cost,7/18/2022 1:02:03 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),88592,Active,1240-50-8780,ABE09,ABNEY ESTATES,3514,THOMAS DR,"SLIDELL, 70458",Cost,7/18/2022 1:02:16 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),61008,Active,1141-40-5128,WOD04,WOODSTONE,14,CHRISTIAN CTR,"MANDEVILLE, 70471",Cost,7/18/2022 1:06:44 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),12680,Active,1048-16-2342,BEC01,BEDICO CREEK,485,S FAIRWAY DR,"MADISONVILLE, 70447",Cost,7/18/2022 1:11:44 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),55889,Active,1128-20-1671,BWE04,BRENTWOOD ESTATES (TD 12),67570,ANTIOCH DR,"MANDEVILLE, 70471",Cost,7/18/2022 1:12:54 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),37151,Active,1100-17-1239,LVI08,LAKE VILLAGE SUB,707,S S LAKE CADDO CTR,"SLIDELL, 70461",Cost,7/18/2022 1:15:39 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),92338,Active,1241-36-2801,EPO09,EAGLE POINT,110,KASEY ST,"SLIDELL, 70458",Cost,7/18/2022 1:16:11 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),112775,Active,1288-05-2745,TRA09,THE TRACE,316,TRACEY LN,"SLIDELL, 70460",Cost,7/18/2022 1:17:25 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),32855,Active,1071-42-2636,PML03,PENN MILL LAKES,700,LAKEVIEW LN,"COVINGTON, 70435",Cost,7/18/2022 1:21:34 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),112679,Active,1281-39-1097,OAC09,OZONE ACRES,58522,HOLLY DR,"SLIDELL, 70460",Cost,7/18/2022 1:23:48 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),40018,Active,1120-19-7084,PIH04,PINEVIEW HEIGHTS,66112,HICKORY ST,"MANDEVILLE, 70448",Cost,7/18/2022 1:28:42 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),24202,Active,1070-10-6976,THI03,TAMMANY HILLS / SOUTH ABITA,70350,C ST,"COVINGTON, 70433",Cost,7/18/2022 1:31:54 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),90010,Active,1240-52-5294,BES09,BELVEDERE ESTATES,1042,BELVEDERE DR,"SLIDELL, 70458",Cost,7/18/2022 1:34:13 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),5501,Active,1040-00-6432,FES01,FLOWER ESTATES,92,N DOGWOOD DR,"COVINGTON, 70433",Cost,7/18/2022 1:38:34 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),53813,Active,1121-40-8885,MRA12,MCNAMARA ST,2049,MCNAMARA ST,"MANDEVILLE, 70448",Cost,7/18/2022 1:40:34 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),123421,Active,1370-78-6535,EIS09,EDEN ISLES,212,RANGER PL,"SLIDELL, 70458",Cost,7/18/2022 1:41:52 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),50994,Active,1121-30-0822,NCH04,NEW CANAAN HILLS,956,ARMAND ST,"MANDEVILLE, 70448",Cost,7/18/2022 1:46:04 PM
Sales Queue,2022,309,PROCESSED,BRAD NOBLES (BNOBLES),14958,Active,1050-04-8178,BUX05,BOUDREAUX RD,79019,BOUDREAUX RD,"FOLSOM, 70437",Cost,7/18/2022 1:47:13 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),7996,Active,1041-28-6021,MOL01,MADISONVILLE ON THE LAKE,430,S CHENIER DR,"MADISONVILLE, 70447",Cost,7/18/2022 1:50:46 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),25702,Active,1070-12-6756,PPL03,PALM PLAZA,74458,DELTA AV,"COVINGTON, 70435",Cost,7/18/2022 1:52:20 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),42325,Active,1120-22-7285,WOL04,WOODRIDGE ON THE LAKE,200,FOREST LOOP,"MANDEVILLE, 70471",Cost,7/18/2022 1:52:21 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),37177,Active,1100-17-1603,LVI08,LAKE VILLAGE SUB,805,LAKE ARTHUR CTR,"SLIDELL, 70461",Cost,7/18/2022 2:12:55 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),106445,Active,1280-66-0868,BVL09,BROWNS VILLAGE,0,NO ADDRESS ,"SLIDELL, 70460",Cost,7/18/2022 2:14:00 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),5017,Active,1038-21-0181,SLA01,SPRING LAKES,437,SAW GRASS LOOP,"COVINGTON, 70435",Cost,7/18/2022 2:14:23 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),118834,Active,1350-74-9524,AON35,ALLISON RD,80376,ALLISON RD,"COVINGTON, 70433",Cost,7/18/2022 2:16:28 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),61955,Active,1148-18-2399,LAVTH,LAKESIDE VILLAGE,1210,RUE MONET ,"MANDEVILLE, 70471",Cost,7/18/2022 2:17:49 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),30860,Active,1071-40-0070,ARE03,ARROWWOOD ESTATES,879,COMANCHE DR,"ABITA SPRINGS, 70420",Cost,7/18/2022 2:37:52 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),25270,Active,1070-12-1088,SRE03,SINGING RIVER ESTATES,103,WOODLAND DR,"COVINGTON, 70433",Cost,7/18/2022 2:40:04 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),127359,Active,1378-13-4133,LVI09,LAKESHORE VILLAGES,721,LAKESHORE VILLAGE DR,"SLIDELL, 70461",Cost,7/18/2022 2:42:23 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),36594,Active,1100-16-4275,LVI08,LAKE VILLAGE SUB,806,N N BLACK LAKE CTR,"SLIDELL, 70461",Cost,7/18/2022 2:43:36 PM
Sales Queue,2022,309,PROCESSED,JOANNE PULITZER (JPULITZER),9114,Active,1041-40-4902,CHY2104,COMMERCIAL HWY 21,317,HWY 21 ,"MADISONVILLE, 70447",Cost,7/18/2022 2:45:02 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),129230,Active,1380-80-5718,GAR03,GARLAND ADDITION,72355,WILKINSON ST,"COVINGTON, 70435",Cost,7/18/2022 2:46:42 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),70266,Active,1181-42-5579,DNS16,DOWNS AV TD 16,0,NO ADDRESS ,"COVINGTON, 70435",Cost,7/18/2022 3:00:36 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),32333,Active,1071-40-9270,6TH07,6TH AVE WARD 3,69359,6TH AV,"COVINGTON, 70433",Cost,7/18/2022 3:11:35 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),77516,Active,1210-42-8140,FGL07,FOREST GLEN (WARD 7),25670,W SPRUCE ST,"LACOMBE, 70445",Cost,7/18/2022 3:22:11 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),80271,Active,1221-35-6747,NON22,NELSON RD (TD 22),64130,NELSON RD,"PEARL RIVER, 70452",Cost,7/18/2022 3:24:48 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),5296,Active,1038-21-2677,MDLGH,MAISON DU LAC GARDEN HOMES,917,RUE CHAMONIX ,"COVINGTON, 70433",Cost,7/18/2022 3:26:58 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),134240,Active,6689-48-8480,DPE04,,67716,RING NECK DOVE DR,"COVINGTON, 70433",Cost,7/18/2022 3:27:56 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),134996,Active,6689-48-5467,DPE04,,67540,EMERALD DOVE DR,"COVINGTON, 70433",Cost,7/18/2022 3:28:08 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),66687,Active,1180-33-7870,HCC06,HILLCREST COUNTRY CLUB,0,NO ADDRESS ,"ABITA SPRINGS, 70420",Cost,7/18/2022 3:29:23 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),24553,Active,1070-11-1600,THI03,TAMMANY HILLS / SOUTH ABITA,70276,B ST,"COVINGTON, 70433",Cost,7/18/2022 3:35:19 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),16869,Active,1051-32-5434,BAY05,BROADWAY ST (FOLSOM),13259,BROADWAY ST,"FOLSOM, 70437",Cost,7/18/2022 3:36:35 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),12411,Active,1048-15-5841,VBO01,VILLAGES AT BOCAGE,10024,CESSON CTR,"MADISONVILLE, 70447",Cost,7/18/2022 3:40:34 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),106805,Active,1280-66-5584,GDR09,GARDEN DRIVE,35389,LIBERTY DR,"SLIDELL, 70460",Cost,7/18/2022 3:43:11 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),7285,Active,1041-09-7806,10774,HWY 1077 T.D. 04,225,HWY 1077 ,"MADISONVILLE, 70447",Cost,7/18/2022 3:44:23 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),65693,Active,1168-14-2443,ALA10,ABITA LAKES,711,ODESSA LN,"COVINGTON, 70435",Cost,7/18/2022 3:44:47 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),111011,Active,1281-19-7681,BEL09,BELAIR,6125,CLEARWATER DR,"SLIDELL, 70460",Cost,7/18/2022 3:45:02 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),59388,Active,1141-04-2874,STCCD,ST CROIX CONDOS,324,MARINERS BLVD,"MANDEVILLE, 70448",Cost,7/18/2022 3:52:04 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),13337,Active,1048-18-3184,GRO01,GRAND OAKS,768,ENGLISH OAK DR,"MADISONVILLE, 70447",Cost,7/18/2022 3:55:04 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),41517,Active,1120-21-6593,FER12,FIRETOWER RD,21310,FIRETOWER RD,"MANDEVILLE, 70471",Cost,7/18/2022 4:03:46 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),20435,Active,1060-09-4137,NC1300,NEW COVINGTON SQS 1300-1320,828,W 13TH AV,"COVINGTON, 70433",Cost,7/18/2022 4:07:21 PM
Sales Queue,2022,309,PROCESSED,LAURA ROGERS (LROGERS),26893,Active,1070-14-2182,CTT07,CROCKETT RD,77285,CROCKETT RD,"FOLSOM, 70437",Cost,7/18/2022 4:07:34 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),128320,Active,1378-21-0843,LVI09,LAKESHORE VILLAGES,7893,CAMELLIA BUD CTR,"SLIDELL, 70461",Cost,7/18/2022 4:08:48 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),119084,Active,1350-75-2827,FAC35,FAUNTLEROY CEMETERY RD,23025,FAUNTLEROY CEMETERY RD,"BUSH, 70431",Cost,7/18/2022 4:09:28 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),134928,Active,7672-88-3759,LVI09,LAKESHORE VILLAGES,5521,WAKE RESERVE RD,"SLIDELL, 70461",Cost,7/18/2022 4:11:44 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),41408,Active,1120-21-5252,COVCD,COURT VILLAS,62,N COURT VILLA DR,"MANDEVILLE, 70471",Cost,7/18/2022 4:13:55 PM
Sales Queue,2022,309,PROCESSED,BRITTANY BOOTH (BBOOTH),128906,Active,1380-80-1550,ROB03,ROBINDALE,20008,WALKER ST,"COVINGTON, 70435",Cost,7/18/2022 4:14:33 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),102886,Active,1278-08-1474,MTR08,MAGNOLIA TRACE (TD 27),0,NO ADDRESS ,"PEARL RIVER, 70452",Cost,7/18/2022 4:15:53 PM
Sales Queue,2022,309,PROCESSED,BROOKE KEEN (BKEEN),50178,Active,1121-25-4898,WIH04,WING HAVEN,2148,WING HAVEN DR,"MANDEVILLE, 70471",Cost,7/18/2022 4:16:39 PM
Sales Queue,2022,309,PROCESSED,DAVID GARRETT (DGARRETT),102887,Active,1278-08-1475,MTR08,MAGNOLIA TRACE (TD 27),0,NO ADDRESS ,"PEARL RIVER, 70452",Cost,7/18/2022 4:17:44 PM
Sales Queue,2022,308,PROCESSED,BROOKE KEEN (BKEEN),60293,Active,1141-26-7256,SAN04,THE SANCTUARY,2,FALCON DR,"MANDEVILLE, 70471",Cost,7/19/2022 8:01:30 AM
Sales Queue,2022,308,PROCESSED,BROOKE KEEN (BKEEN),57732,Active,1140-28-6346,WBP04,WEST BEACH PARKWAY,231,WEST ST,"MANDEVILLE, 70448",Cost,7/19/2022 8:02:29 AM
Sales Queue,2022,308,PROCESSED,LAURA ROGERS (LROGERS),32711,Active,1071-42-1623,RIVTH,RIVERVIEW TOWNHOMES,19320 UN110,RIVERVIEW CTR,"COVINGTON, 70433",Cost,7/19/2022 8:03:49 AM
Sales Queue,2022,308,PROCESSED,BRITTANY BOOTH (BBOOTH),112395,Active,1281-37-0391,BVA09,BROWNS VILLAGE ANNEX,61049,DONYA ST,"SLIDELL, 70460",Cost,7/19/2022 8:06:42 AM
Sales Queue,2022,308,PROCESSED,LAURA ROGERS (LROGERS),25740,Active,1070-12-7264,SRE03,SINGING RIVER ESTATES,132,PINEOAK DR,"COVINGTON, 70433",Cost,7/19/2022 8:18:33 AM
Sales Queue,2022,308,PROCESSED,LAURA ROGERS (LROGERS),32307,Active,1071-40-9244,PLL07,PENN MILL RD,74109,PENN MILL RD,"COVINGTON, 70435",Cost,7/19/2022 8:29:12 AM
Sales Queue,2022,308,PROCESSED,DAVID GARRETT (DGARRETT),125929,Active,1371-38-7588,LES09,LAKESHORE ESTATES,2279,SUNSET BLVD,"SLIDELL, 70461",Cost,7/19/2022 8:45:30 AM
Sales Queue,2022,308,PROCESSED,DAVID GARRETT (DGARRETT),100891,Active,1268-18-0112,HAR26,HARDIN RD TD 26,57044,HARDIN RD,"SLIDELL, 70461",Cost,7/19/2022 8:48:23 AM
Sales Queue,2022,308,PROCESSED,DAVID GARRETT (DGARRETT),80984,Active,1230-43-8588,CMA08,CASTLE MANOR,126,CHANTILLY LN,"SLIDELL, 70458",Cost,7/19/2022 8:49:47 AM
Sales Queue,2022,308,PROCESSED,BRITTANY BOOTH (BBOOTH),106089,Active,1280-65-6232,BND28,BOND DR,35283,BOND DR,"SLIDELL, 70460",Cost,7/19/2022 8:53:09 AM
Sales Queue,2022,308,PROCESSED,BROOKE KEEN (BKEEN),35481,Active,1080-15-1726,CCC04,COVINGTON COUNTRY CLUB,119 UNIT A,NORTH DR,"COVINGTON, 70433",Cost,7/19/2022 9:13:46 AM
Sales Queue,2022,308,PROCESSED,DAVID GARRETT (DGARRETT),87194,Active,1240-49-2248,PPP09,PINE PARK PLACE,720,COUSIN ST,"SLIDELL, 70458",Cost,7/19/2022 9:14:09 AM
